InternalProjectID,AverageCount,AverageForecast,Error,PercentError,AbsPE,ImprovementType,Func_Class,Forecast_Method,Diff_Year,UnifiedImprovementType
1929,13817.3913,16991.30435,-3173.913043,-18.67963153,18.67963153,12,7.347826087,4,4,3
1939,32600,37200,-4600,-12.3655914,12.3655914,12,1,1,5,3
19468,12990,15657.5,-2667.5,-17.03656395,17.03656395,12,3,6,3,3
19503,14545,15840,-1295,-8.175505051,8.175505051,1,2,6,2,1
19567,4390,6120,-1730,-28.26797386,28.26797386,1,3,6,2,1
19571,1000,1367,-367,-26.84711046,26.84711046,1,5,6,1,1
19578,10890,14509.58333,-3619.583333,-24.94615628,24.94615628,12,3.166666667,6,4,3
19580,7810,10430.83333,-2620.833333,-25.12582887,25.12582887,12,3,6,3,3
19585,52020,56244,-4224,-7.510134414,7.510134414,1,1,6,2,1
1959,10512.5,14187.5,-3675,-25.9030837,25.9030837,12,4,1,2,3
19601,1470,1488.5,-18.5,-1.242861942,1.242861942,1,5,6,1,1
1965,6900,7780,-880,-11.31105398,11.31105398,12,3.6,4,1,3
19654,6010,6340,-330,-5.205047319,5.205047319,1,4,6,2,1
1986,4800,4375,425,9.714285714,9.714285714,12,4,4,4,3
1990,14400,20025,-5625,-28.08988764,28.08988764,12,3,4,5,3
19932,41700,39760,1940,4.879275654,4.879275654,12,1,6,3,3
19971,9920,12630,-2710,-21.45684877,21.45684877,1,3,6,3,1
20-Year Plan For District 9,48875,47904.875,970.125,2.025107048,2.025107048,12,8,1,21,3
2004,6500,7400,-900,-12.16216216,12.16216216,12,3,1,1,3
2005,6733.333333,6966.666667,-233.3333333,-3.349282297,3.349282297,12,3,1,1,3
2006,2650,2900,-250,-8.620689655,8.620689655,12,4,1,1,3
20082,31765,40170,-8405,-20.92357481,20.92357481,12,3,6,3,3
2015,15200,18866.66667,-3666.666667,-19.43462898,19.43462898,12,4,1,2,3
2017,30800,36400,-5600,-15.38461538,15.38461538,12,1,1,3,3
20233,8420,12920,-4500,-34.82972136,34.82972136,1,3,6,3,1
20236,23592.5,25893,-2300.5,-8.884640636,8.884640636,11,3,6,0,2
2035,12500,15000,-2500,-16.66666667,16.66666667,12,4,1,1,3
20383,3590,3978,-388,-9.753645048,9.753645048,1,5,6,3,1
20424,32848.57143,45045.14286,-12196.57143,-27.07632978,27.07632978,1,3,6,0,1
2064,12900,14200,-1300,-9.154929577,9.154929577,12,3,1,1,3
2084,2575,1350,1225,90.74074074,90.74074074,12,4,4,6,3
20874,550,299,251,83.94648829,83.94648829,1,5,6,2,1
20878,26610,32144.70833,-5534.708333,-17.21810096,17.21810096,12,3.416666667,6,5,3
20879,9045,11045,-2000,-18.10774106,18.10774106,1,4,6,5,1
20981,7910,13320,-5410,-40.61561562,40.61561562,1,4,6,2,1
20996,17970,23498,-5528,-23.52540642,23.52540642,12,1,6,1.5,3
21075,3060,4821,-1761,-36.52769135,36.52769135,12,5,6,1,3
21147,8670,14284,-5614,-39.30271633,39.30271633,1,3,6,3,1
21177,23070,41694.5,-18624.5,-44.66896113,44.66896113,1,1,6,2,1
21250,10900,11099.65,-199.65,-1.798705365,1.798705365,12,4,6,2,3
2126,2630,2420,210,8.67768595,8.67768595,12,7,1,1,3
2137,38900,36362.5,2537.5,6.978343073,6.978343073,12,3,1,3,3
2138,6533.333333,8233.333333,-1700,-20.64777328,20.64777328,12,3,4,3,3
21453,18505,22254.165,-3749.165,-16.84702616,16.84702616,1,1,6,2,1
2148,10400,12800,-2400,-18.75,18.75,12,3,1,0,3
21509,6250,7145,-895,-12.52624213,12.52624213,1,4,6,1,1
2154,1395,1770,-375,-21.18644068,21.18644068,12,4.5,4,4,3
2156,2900,3000,-100,-3.333333333,3.333333333,12,3,1,0,3
21582,6090,6598.33,-508.33,-7.703919022,7.703919022,1,3,6,2,1
21583,41370,41340,30,0.07256894,0.07256894,1,1,6,1,1
2159,5976.666667,8371.666667,-2395,-28.60840135,28.60840135,12,3.666666667,1,4,3
21616,31660,37945,-6285,-16.56344709,16.56344709,1,1,6,2,1
21755,20643.33333,19483.33333,1160,5.953806672,5.953806672,1,3,6,2,1
21785,12810,14378,-1568,-10.90555015,10.90555015,12,4,6,2,3
2187,1800,1700,100,5.882352941,5.882352941,12,5,4,3,3
2191,1800,2800,-1000,-35.71428571,35.71428571,12,4,1,1,3
21927,15003.33333,17408.33333,-2405,-13.81522259,13.81522259,11,2.833333333,6,5,2
